문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
11896,Silver V,다각형,1057,305,253,30.336%,https://www.acmicpc.net/problem/11896
30009,Bronze II,포지션 제로,339,255,244,77.707%,https://www.acmicpc.net/problem/30009
10523,Platinum V,직선 찾기,2173,405,243,16.287%,https://www.acmicpc.net/problem/10523
2650,Gold IV,교차점개수,855,301,239,38.989%,https://www.acmicpc.net/problem/2650
17843,Silver V,시계,592,282,231,48.529%,https://www.acmicpc.net/problem/17843
3042,Silver II,트리플렛,500,254,228,53.147%,https://www.acmicpc.net/problem/3042
2244,Platinum IV,민코프스키 합,741,303,227,40.608%,https://www.acmicpc.net/problem/2244
28297,Gold I,차량 모듈 제작,646,273,218,43.952%,https://www.acmicpc.net/problem/28297
1810,Gold II,징검다리 달리기 2,1851,411,211,19.429%,https://www.acmicpc.net/problem/1810
30891,Silver V,볶음밥 지키기,372,234,210,66.038%,https://www.acmicpc.net/problem/30891
13352,Platinum IV,석양이 진다...,964,311,209,30.246%,https://www.acmicpc.net/problem/13352
31534,Silver IV,현대모비스 선풍기 굴리기,537,237,207,46.833%,https://www.acmicpc.net/problem/31534
32171,Bronze II,울타리 공사,304,220,205,73.741%,https://www.acmicpc.net/problem/32171
11665,Bronze I,직육면체 교집합,457,228,205,54.377%,https://www.acmicpc.net/problem/11665
1430,Gold IV,공격,674,249,200,43.103%,https://www.acmicpc.net/problem/1430
4563,Gold V,리벤지 오브 피타고라스,336,244,199,79.600%,https://www.acmicpc.net/problem/4563
13552,Bronze I,구와 쿼리,1488,413,198,25.648%,https://www.acmicpc.net/problem/13552
24726,Gold IV,미적분학 입문하기 2,421,234,192,66.436%,https://www.acmicpc.net/problem/24726
14842,Silver V,재홍의 사다리,743,231,192,31.527%,https://www.acmicpc.net/problem/14842
29159,Silver III,케이크 두 개,515,195,188,41.048%,https://www.acmicpc.net/problem/29159
16491,Gold I,대피소 찾기,593,259,186,45.813%,https://www.acmicpc.net/problem/16491
27941,Silver II,하이퍼 가지 따기,581,211,183,44.203%,https://www.acmicpc.net/problem/27941
1709,Gold IV,타일 위의 원,836,274,180,35.503%,https://www.acmicpc.net/problem/1709
28683,Gold V,피타! 피타! 피타츄!,522,204,177,45.038%,https://www.acmicpc.net/problem/28683
1930,Gold IV,정사면체,817,249,177,34.503%,https://www.acmicpc.net/problem/1930
1798,Gold I,원뿔좌표계상의 거리,1107,264,176,22.564%,https://www.acmicpc.net/problem/1798
32142,Silver III,서바이벌,305,226,173,77.232%,https://www.acmicpc.net/problem/32142
2936,Silver III,채식주의자,739,201,171,28.836%,https://www.acmicpc.net/problem/2936
16115,Gold III,팬이에요,976,217,170,24.673%,https://www.acmicpc.net/problem/16115
30011,Silver IV,겹다각형의 각,245,184,165,75.799%,https://www.acmicpc.net/problem/30011
23239,Platinum V,당근 밭,600,216,165,38.194%,https://www.acmicpc.net/problem/23239
9715,Silver III,면적 구하기,235,182,161,80.100%,https://www.acmicpc.net/problem/9715
2496,Platinum III,금강석,2079,256,150,14.507%,https://www.acmicpc.net/problem/2496
19950,Gold V,3차원 막대기 연결하기,373,181,149,58.431%,https://www.acmicpc.net/problem/19950
27296,Gold V,카탈란 마스터의 선분 그리기 게임,367,177,148,51.211%,https://www.acmicpc.net/problem/27296
32205,Silver IV,네모의 꿈,279,191,143,71.500%,https://www.acmicpc.net/problem/32205
