문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
1325,Silver I,효율적인 해킹,100708,15053,10142,18.831%,https://www.acmicpc.net/problem/1325
11779,Gold III,최소비용 구하기 2,37113,14158,10097,36.599%,https://www.acmicpc.net/problem/11779
1600,Gold III,말이 되고픈 원숭이,66051,15980,10076,21.368%,https://www.acmicpc.net/problem/1600
4179,Gold III,불!,67615,15217,10049,20.690%,https://www.acmicpc.net/problem/4179
10451,Silver III,순열 사이클,21056,13250,9618,62.813%,https://www.acmicpc.net/problem/10451
1516,Gold III,게임 개발,23939,11602,9034,48.323%,https://www.acmicpc.net/problem/1516
24479,Silver II,알고리즘 수업 - 깊이 우선 탐색 1,47553,11777,8768,23.654%,https://www.acmicpc.net/problem/24479
2623,Gold III,음악프로그램,20497,10677,8651,51.105%,https://www.acmicpc.net/problem/2623
1743,Silver I,음식물 피하기,22542,10823,8545,48.001%,https://www.acmicpc.net/problem/1743
5427,Gold IV,불,46318,12664,8538,25.143%,https://www.acmicpc.net/problem/5427
4386,Gold III,별자리 만들기,17630,10363,8514,58.491%,https://www.acmicpc.net/problem/4386
17135,Gold III,캐슬 디펜스,36764,13841,8464,33.383%,https://www.acmicpc.net/problem/17135
1865,Gold III,웜홀,57648,13661,8455,21.222%,https://www.acmicpc.net/problem/1865
17471,Gold III,게리맨더링,30273,13320,8349,40.479%,https://www.acmicpc.net/problem/17471
17142,Gold III,연구소 3,48517,13558,8243,26.126%,https://www.acmicpc.net/problem/17142
5567,Silver II,결혼식,21515,9714,7893,44.808%,https://www.acmicpc.net/problem/5567
2458,Gold IV,키 순서,19056,10397,7651,54.205%,https://www.acmicpc.net/problem/2458
1956,Gold IV,운동,28038,9993,7572,37.674%,https://www.acmicpc.net/problem/1956
2887,Platinum V,행성 터널,27580,10378,7331,35.493%,https://www.acmicpc.net/problem/2887
14226,Gold IV,이모티콘,28949,10964,7321,34.427%,https://www.acmicpc.net/problem/14226
2668,Gold V,숫자고르기,21138,9465,7307,45.563%,https://www.acmicpc.net/problem/2668
6593,Gold V,상범 빌딩,23277,9176,7252,38.816%,https://www.acmicpc.net/problem/6593
